category,amount,date,description
Food & Drinks - Bars & Pubs,-98.80,22/03/2017,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor qui"
Work & Study - Other Work & Study,-119.29,20/04/2014,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.
Household Utilities - Phone & Internet,-9.96,2/03/2017,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursu"
Work & Study - Other Work & Study,-8.12,1/09/2016,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat i"
Work & Study - Other Work & Study,-92.90,24/02/2017,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum "
Miscellaneous - Other,-36.52,29/06/2015,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula ne"
Shopping - Sports & Outdoor,-112.67,28/01/2016,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, cond"
Transport - Fuel,-6.12,8/09/2015,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cu
Work & Study - Course Fees,-11.64,3/05/2015,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta
Holiday & Travel - Vehicle Rentals,-147.77,29/06/2016,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue qua
Health & Beauty - Eyewear,-4.35,22/06/2014,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobo"
Household Utilities - Electricity & Gas,-6.45,13/06/2015,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam 
Shopping - Other Shopping,-60.43,16/11/2016,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla nequ
Health & Beauty - Doctors & Dentist,-4.36,17/12/2016,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien "
Holiday & Travel - Other Travel,-68.16,13/07/2015,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus
Work & Study - Books & Stationery,-160.77,7/08/2016,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nul"
Food & Drinks - Cafes & Coffee,-24.27,8/03/2015,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
Health & Beauty - Gyms & Fitness,-5.04,26/03/2016,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi
Health & Beauty - Eyewear,-62.08,29/10/2014,Aliquam erat volutpat. In congue. Etiam justo.
Banking & Finance - Loan Repayments,-12.53,11/03/2014,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas
Holiday & Travel - Other Travel,-162.48,26/08/2016,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Mor
Transport - Fuel,-57.49,30/01/2018,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibu
Food & Drinks - Cafes & Coffee,-154.23,18/10/2016,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molest
Banking & Finance - ATM Withdrawals,-34.48,1/10/2016,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nis
Banking & Finance - Loan Repayments,-401.02,18/04/2015,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi e"
Banking & Finance - ATM Withdrawals,-123.61,18/09/2014,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum m"
Holiday & Travel - Hotels & Accomodation,-32.43,12/01/2017,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at "
Household Utilities - Other Household Utilities,-100.57,27/11/2014,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci
Food & Drinks - Cafes & Coffee,-93.96,19/11/2015,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
Insurance - Car Insurance,-24.43,27/02/2014,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis nato
Work & Study - Books & Stationery,-74.07,26/06/2017,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie"
Household Utilities - Other Household Utilities,-3.25,29/07/2015,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commod
Health & Beauty - Gyms & Fitness,-11.64,30/01/2018,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at "
Transport - Public Transport,-139.91,11/08/2014,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
Transport - Public Transport,-566.47,29/04/2014,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamu
Shopping - Electronics & Appliances,-31.07,5/01/2017,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellent"
Work & Study - Other Work & Study,-13.76,19/01/2014,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, le"
Shopping - Homewares,-64.86,8/12/2015,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget
Home - Rent,-451.65,17/01/2017,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.
Household Utilities - Phone & Internet,-105.00,7/12/2015,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
Holiday & Travel - Hotels & Accomodation,-276.51,5/08/2016,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim bla"
Shopping - Sports & Outdoor,-34.24,21/11/2017,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi vene"
Insurance - Car Insurance,-95.72,21/04/2017,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui
Groceries - Supermarkets,-48.08,4/12/2016,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in portt"
Home - Services & Trades,-88.26,10/12/2016,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vit
Shopping - Electronics & Appliances,-21.80,7/03/2014,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie"
Insurance - Car Insurance,-35.50,2/08/2014,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis j
Food & Drinks - Other Food & Drinks,-34.41,23/08/2017,Morbi ut odio.
Household Utilities - Water,-202.61,2/02/2016,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magn
Shopping - Sports & Outdoor,-7.31,12/09/2017,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamu
Shopping - Homewares,-68.85,26/07/2014,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibu
Food & Drinks - Bars & Pubs,-24.82,11/11/2017,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viver
Holiday & Travel - Hotels & Accomodation,-43.08,19/09/2017,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nun"
Shopping - Homewares,-169.87,24/02/2016,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euis"
Household Utilities - Phone & Internet,-88.69,15/12/2016,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phase"
Entertainment - Media Subscriptions,-166.31,17/07/2017,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu mass"
Shopping - Sports & Outdoor,-9.22,14/08/2015,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nul"
Holiday & Travel - Vehicle Rentals,-51.94,4/12/2014,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
Home - Rent,-58.55,3/05/2014,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea 
Insurance - Car Insurance,-396.91,30/06/2014,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidu"
Banking & Finance - ATM Withdrawals,-1.19,22/10/2017,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non 
Holiday & Travel - Other Travel,-23.44,1/12/2016,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam n
Household Utilities - Other Household Utilities,-24.39,13/03/2016,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices a
Food & Drinks - Takeaways,-81.24,7/09/2017,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobo"
Shopping - Sports & Outdoor,-24.44,17/07/2016,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.
Shopping - Clothing & Fashion,-54.65,29/02/2016,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices ma
Food & Drinks - Bars & Pubs,-124.65,1/10/2015,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibu
Household Utilities - Other Household Utilities,-51.57,22/12/2017,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
Holiday & Travel - Vehicle Rentals,-52.30,1/12/2017,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa qu
Holiday & Travel - Hotels & Accomodation,-8.65,27/01/2016,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at,"
Work & Study - Other Work & Study,-84.60,6/07/2017,Proin eu mi.
Food & Drinks - Cafes & Coffee,-121.23,13/02/2015,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem"
Holiday & Travel - Vehicle Rentals,-117.89,25/07/2016,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam n
Health & Beauty - Doctors & Dentist,-34.99,17/09/2016,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi 
Health & Beauty - Gyms & Fitness,-68.53,4/12/2017,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit"
Entertainment - Media Subscriptions,-63.33,25/06/2014,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
Shopping - Sports & Outdoor,-129.40,25/03/2015,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui
Shopping - Clothing & Fashion,-243.30,12/05/2014,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibu
Shopping - Sports & Outdoor,-174.55,7/02/2016,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rh
Entertainment - Media Subscriptions,-146.71,29/10/2014,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu mass"
Transport - Taxi & Rideshare,-76.41,7/07/2015,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim bla"
Holiday & Travel - Hotels & Accomodation,-256.49,19/06/2014,Nulla tellus. In sagittis dui vel nisl.
Work & Study - Other Work & Study,-140.13,30/12/2014,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in portt"
Entertainment - Media Subscriptions,-11.16,10/08/2014,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magn
Health & Beauty - Gyms & Fitness,-133.24,16/03/2015,Etiam faucibus cursus urna.
Shopping - Clothing & Fashion,-54.13,2/12/2015,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ul"
Groceries - Liquor Stores,-39.00,12/12/2015,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rh
Holiday & Travel - Vehicle Rentals,-166.46,6/02/2016,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nul"
Groceries - Liquor Stores,-71.89,18/02/2016,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellent"
Transport - Fuel,-88.56,6/04/2017,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sag"
Shopping - Other Shopping,-154.32,15/05/2015,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
Shopping - Electronics & Appliances,-68.88,7/11/2015,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phase"
Holiday & Travel - Flights,-326.48,20/09/2014,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula ne"
Work & Study - Course Fees,-2.09,11/12/2017,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis"
Shopping - Electronics & Appliances,-140.52,29/08/2017,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
Household Utilities - Water,-52.74,11/10/2016,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharet
Transport - Vehicle Maintenance,-46.05,26/03/2017,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget
Food & Drinks - Cafes & Coffee,-4.47,10/09/2017,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentes"
Work & Study - Other Work & Study,-80.17,29/03/2017,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nul"
Banking & Finance - Loan Repayments,-43.78,5/12/2014,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna v
Work & Study - News & Subscriptions,-103.33,16/01/2017,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor conva
Food & Drinks - Takeaways,-83.89,6/08/2016,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, a"
Work & Study - Books & Stationery,-4.37,12/06/2015,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus
Health & Beauty - Eyewear,-167.49,16/12/2015,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nu
Shopping - Other Shopping,-85.82,7/06/2016,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, e"
Home - Services & Trades,-18.52,19/07/2014,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharet
Household Utilities - Electricity & Gas,-1.28,14/08/2016,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rh
Entertainment - Media Subscriptions,-117.88,9/12/2016,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc"
Work & Study - Course Fees,-221.41,1/01/2015,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor qui"
Insurance - Car Insurance,-229.32,11/04/2016,Nunc purus. Phasellus in felis.
Transport - Fuel,-25.57,31/05/2014,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
Holiday & Travel - Hotels & Accomodation,-67.27,2/12/2015,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula ne"
Holiday & Travel - Hotels & Accomodation,-56.25,3/02/2016,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. F"
Groceries - Liquor Stores,-29.70,15/12/2014,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tris"
Food & Drinks - Cafes & Coffee,-116.82,25/03/2014,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at,"
Transport - Public Transport,-138.12,22/04/2016,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor conva
Transport - Taxi & Rideshare,-44.49,21/09/2014,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Mor"
Transport - Vehicle Maintenance,-72.09,6/09/2017,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.
Home - Services & Trades,-1.61,21/05/2015,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget
Holiday & Travel - Hotels & Accomodation,-205.58,12/05/2015,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lec
